date,ICICI_LargeMidcap,Nifty50_BeES,fund_ret,bench_ret
2007-05-04,12.71,415.462,-0.010894941634241206,-0.008032448781857493
2007-05-07,12.65,414.8228,-0.004720692368214041,-0.0015385281927108307
2007-05-08,12.56,411.3909,-0.007114624505928813,-0.008273171098599152
2007-05-09,12.57,411.6137,0.0007961783439489611,0.0005415773659553924
2007-05-10,12.49,410.3523,-0.006364359586316648,-0.0030645238484530157
2007-05-11,12.53,411.3348,0.0032025620496396456,0.002394284130977198
2007-05-14,12.68,417.1242,0.011971268954509284,0.014074666184334506
2007-05-15,12.71,415.7074,0.0023659305993690705,-0.0033965902721538876
2007-05-16,12.87,420.793,0.012588512981903888,0.012233604694070976
2007-05-17,13.0,425.7181,0.010101010101010166,0.011704329682290293
2007-05-18,12.99,425.204,-0.0007692307692307443,-0.0012076066298332133
2007-05-21,13.15,429.8506,0.012317167051578037,0.01092793106367762
2007-05-22,13.19,431.5762,0.003041825095057016,0.004014418032683986
2007-05-23,13.12,428.3608,-0.005307050796057644,-0.007450364501100815
2007-05-24,12.99,424.2012,-0.009908536585365724,-0.009710505723212748
2007-05-25,13.09,428.5427,0.007698229407236301,0.01023453021820786
2007-05-28,13.14,429.3679,0.0038197097020626902,0.0019255957457682271
2007-05-29,13.27,433.0506,0.009893455098934467,0.008577026834097223
2007-05-30,13.15,428.6636,-0.00904295403165023,-0.010130455886679268
2007-05-31,13.29,433.2997,0.010646387832699444,0.010815240668906823
2007-06-01,13.3,433.5311,0.0007524454477052522,0.0005340414498324897
2007-06-04,13.19,430.4972,-0.008270676691729428,-0.006998113860804844
2007-06-05,13.21,432.2599,0.0015163002274451998,0.004094567862462206
2007-06-06,12.93,423.6404,-0.021196063588190817,-0.019940549655427242
2007-06-07,12.85,421.7887,-0.006187161639597871,-0.004370924019522215
2007-06-08,12.77,418.4978,-0.006225680933852118,-0.0078022479028007075
2007-06-11,12.76,418.5389,-0.000783085356303781,9.82084015734852e-05
2007-06-12,12.8,419.6087,0.0031347962382446415,0.0025560348154018975
2007-06-13,12.69,415.5102,-0.008593750000000067,-0.009767433325381436
2007-06-14,12.87,421.4044,0.014184397163120588,0.014185452005750943
2007-06-15,12.9,421.624,0.002331002331002363,0.0005211146347783302
2007-06-18,12.83,419.1547,-0.005426356589147363,-0.00585664003946651
2007-06-19,13.02,425.9094,0.014809041309431059,0.016115052509252603
2007-06-20,13.14,429.3534,0.009216589861751334,0.008086226789077777
2007-06-21,13.21,431.2333,0.0053272450532724225,0.004378444423637884
2007-06-22,13.15,429.6841,-0.004542013626040897,-0.003592486943842177
2007-06-25,13.17,430.4086,0.0015209125475283969,0.0016861224327360258
2007-06-26,13.23,433.0466,0.004555808656036442,0.0061290596888632365
2007-06-27,13.13,430.8449,-0.0075585789871503994,-0.005084210336716688
2007-06-28,13.17,432.7668,0.0030464584920029125,0.004460769989385938
2007-06-29,13.33,436.4221,0.012148823082763771,0.008446350320773233
2007-07-02,13.3,435.9618,-0.0022505626406601476,-0.0010547128571170017
2007-07-03,13.44,440.348,0.010526315789473495,0.010060973232058457
2007-07-04,13.44,440.5108,0.0,0.000369707594902291
2007-07-05,13.46,440.0012,0.0014880952380953438,-0.0011568388334634028
2007-07-06,13.54,443.1119,0.005943536404160454,0.007069753446127036
2007-07-09,13.65,446.5701,0.008124076809453484,0.007804349194864946
2007-07-10,13.59,445.2865,-0.00439560439560438,-0.002874352761190302
2007-07-11,13.53,443.3815,-0.004415011037527616,-0.004278144520437954
2007-07-12,13.69,449.3088,0.01182557280118246,0.013368397192936587
2007-07-13,13.91,455.1834,0.016070124178232392,0.013074749481870818
2007-07-16,13.91,456.1505,0.0,0.0021246381129014225
2007-07-17,13.88,454.6442,-0.0021567217828899476,-0.003302199602981948
2007-07-18,13.87,454.9201,-0.0007204610951009327,0.0006068481683039195
2007-07-19,14.05,461.2016,0.012977649603460817,0.013807919236806576
2007-07-20,14.09,461.5922,0.002846975088967918,0.0008469181373178536
2007-07-23,14.25,466.9352,0.011355571327182457,0.011575152266437794
2007-07-24,14.25,467.0719,0.0,0.0002927601088973386
2007-07-25,14.18,463.84,-0.0049122807017544234,-0.006919491410209089
2007-07-26,14.21,466.9622,0.0021156558533146352,0.006731200413935934
2007-07-27,13.75,449.4368,-0.032371569317382165,-0.037530660940007565
2007-07-30,13.72,448.9009,-0.0021818181818181737,-0.001192381220229466
2007-07-31,13.99,457.8373,0.019679300291545188,0.01990728911436812
2007-08-01,13.49,439.4082,-0.035739814152966454,-0.04025250891528498
2007-08-02,13.56,440.5013,0.005189028910304039,0.002487664090019326
2007-08-03,13.69,445.1146,0.009587020648967437,0.010472840829300667
2007-08-06,13.56,438.8519,-0.009495982468955333,-0.014069859761957959
2007-08-07,13.58,440.6698,0.001474926253687281,0.004142399748069847
2007-08-08,13.87,451.4713,0.02135493372606767,0.024511550371729474
2007-08-09,13.69,445.5201,-0.012977649603460706,-0.013181790293203544
2007-08-10,13.49,438.4714,-0.014609203798392922,-0.01582128393309301
2007-08-13,13.6,442.5152,0.008154188287620379,0.009222494329162556
2007-08-14,13.58,442.1688,-0.0014705882352941124,-0.0007827979694257081
2007-08-16,13.04,422.8772,-0.0397643593519883,-0.043629491723522706
2007-08-17,12.83,415.8422,-0.01610429447852757,-0.016636035236707092
2007-08-20,13.13,426.0022,0.02338269680436489,0.02443234476924183
2007-08-21,12.73,412.4745,-0.030464584920030457,-0.03175500032628953
2007-08-22,12.94,420.3832,0.0164964650432049,0.019173791349525793
